Number,A,B',B'',X,r_A,r_B',r_B'',r_X,χ_A,χ_B',χ_B'',χ_X,Formula,Formation energy per atom,Bandgap
2958,Rb,Co,Fe,F,1.72,0.65,0.61,1.33,0.82,1.88,1.83,3.98,Rb2CoFeF6,-2.143383989,0.247
2962,Rb,Co,Tm,F,1.72,0.65,1.03,1.33,0.82,1.88,1.25,3.98,Rb2CoTmF6,-2.720660603,0.234
2977,Rb,Co,V,F,1.72,0.65,0.79,1.33,0.82,1.88,1.63,3.98,Rb2CoVF6,-2.222932326,0.184
3016,Rb,Co,Np,F,1.72,0.65,1.10,1.33,0.82,1.88,1.36,3.98,Rb2CoNpF6,-2.675870225,0.033
3321,Tl,Co,Sr,F,1.70,0.65,1.18,1.33,1.62,1.88,0.95,3.98,Tl2CoSrF6,-2.431189298,2.427
3466,Tl,Co,Fe,F,1.70,0.65,0.61,1.33,1.62,1.88,1.83,3.98,Tl2CoFeF6,-1.99231422,1.498
3552,Tl,Co,Fe,Br,1.70,0.65,0.61,1.96,1.62,1.88,1.83,2.96,Tl2CoFeBr6,-0.329500009,0.844
3562,Tl,Co,Dy,I,1.70,0.65,1.07,2.20,1.62,1.88,1.22,2.66,Tl2CoDyI6,-0.595957264,0.764
3568,Tl,Co,Tm,I,1.70,0.65,1.03,2.20,1.62,1.88,1.25,2.66,Tl2CoTmI6,-0.594416608,0.743
3585,Tl,Co,Tm,Br,1.70,0.65,1.03,1.96,1.62,1.88,1.25,2.96,Tl2CoTmBr6,-0.963881123,0.689
3589,Tl,Co,Dy,Br,1.70,0.65,1.07,1.96,1.62,1.88,1.22,2.96,Tl2CoDyBr6,-0.961827529,0.678
3594,Tl,Co,Tm,Cl,1.70,0.65,1.03,1.81,1.62,1.88,1.25,3.16,Tl2CoTmCl6,-1.243634807,0.654
3599,Tl,Co,Dy,Cl,1.70,0.65,1.07,1.81,1.62,1.88,1.22,3.16,Tl2CoDyCl6,-1.236451213,0.615
3699,Tl,Co,Tm,F,1.70,0.65,1.03,1.33,1.62,1.88,1.25,3.98,Tl2CoTmF6,-2.285124334,0.093
3728,Tl,Co,Cu,Cl,1.70,0.65,0.73,1.81,1.62,1.88,1.9,3.16,Tl2CoCuCl6,-0.61467048,0.017
3732,Tl,Co,Np,F,1.70,0.65,1.10,1.33,1.62,1.88,1.36,3.98,Tl2CoNpF6,-1.002435956,0.008
399,Cs,Rh,Tl,Br,1.88,0.665,1.50,1.96,0.79,2.28,1.62,2.96,Cs2RhTlBr6,-1.057965854,1.306
412,Cs,Rh,Tl,I,1.88,0.665,1.50,2.20,0.79,2.28,1.62,2.66,Cs2RhTlI6,-0.808444339,1.222
1120,K,Rh,Tl,Cl,1.64,0.665,1.50,1.81,0.82,2.28,1.62,3.16,K2RhTlCl6,-1.175139223,1.554
1172,K,Rh,Tl,I,1.64,0.665,1.50,2.20,0.82,2.28,1.62,2.66,K2RhTlI6,-0.712416524,1.229
1350,K,Rh,Tl,F,1.64,0.665,1.50,1.33,0.82,2.28,1.62,3.98,K2RhTlF6,-2.046675,0.425
1809,Na,Rh,Tl,F,1.39,0.665,1.50,1.33,0.93,2.28,1.62,3.98,Na2RhTlF6,-2.040191688,1.954
1884,Na,Rh,Tl,Cl,1.39,0.665,1.50,1.81,0.93,2.28,1.62,3.16,Na2RhTlCl6,-0.992714411,1.549
1915,Na,Rh,Tl,Br,1.39,0.665,1.50,1.96,0.93,2.28,1.62,2.96,Na2RhTlBr6,-0.786656977,1.34
1932,Na,Rh,Tl,I,1.39,0.665,1.50,2.20,0.93,2.28,1.62,2.66,Na2RhTlI6,-0.528590462,1.201
2634,Rb,Rh,Tl,F,1.72,0.665,1.50,1.33,0.82,2.28,1.62,3.98,Rb2RhTlF6,-2.242776724,1.898
2680,Rb,Rh,Tl,Cl,1.72,0.665,1.50,1.81,0.82,2.28,1.62,3.16,Rb2RhTlCl6,-1.214778948,1.545
2722,Rb,Rh,Tl,Br,1.72,0.665,1.50,1.96,0.82,2.28,1.62,2.96,Rb2RhTlBr6,-1.010677513,1.279
2732,Rb,Rh,Tl,I,1.72,0.665,1.50,2.20,0.82,2.28,1.62,2.66,Rb2RhTlI6,-0.756849998,1.219
146,Cs,Mn,Sr,Cl,1.88,0.67,1.18,1.81,0.79,1.55,0.95,3.16,Cs2MnSrCl6,-1.859509264,3.674
266,Cs,Mn,Sr,Br,1.88,0.67,1.18,1.96,0.79,1.55,0.95,2.96,Cs2MnSrBr6,-1.592322079,2.389
276,Cs,Mn,Pb,Cl,1.88,0.67,1.19,1.81,0.79,1.55,2.33,3.16,Cs2MnPbCl6,-1.468096434,2.265
310,Cs,Mn,Sr,I,1.88,0.67,1.18,2.20,0.79,1.55,0.95,2.66,Cs2MnSrI6,-1.223136064,1.996
319,Cs,Mn,Sn,Cl,1.88,0.67,1.0,1.81,0.79,1.55,1.96,3.16,Cs2MnSnCl6,-1.427066891,1.879
327,Cs,Mn,Pb,Br,1.88,0.67,1.19,1.96,0.79,1.55,2.33,2.96,Cs2MnPbBr6,-1.2326935,1.831
380,Cs,Mn,Sn,Br,1.88,0.67,1.0,1.96,0.79,1.55,1.96,2.96,Cs2MnSnBr6,-1.194138207,1.422
389,Cs,Mn,Pb,I,1.88,0.67,1.19,2.20,0.79,1.55,2.33,2.66,Cs2MnPbI6,-0.904330235,1.369
421,Cs,Mn,Zn,Cl,1.88,0.67,0.740,1.81,0.79,1.55,1.65,3.16,Cs2MnZnCl6,-1.407777078,1.164
449,Cs,Mn,Sn,I,1.88,0.67,1.0,2.20,0.79,1.55,1.96,2.66,Cs2MnSnI6,-0.870357692,0.987
516,Cs,Mn,Ni,Cl,1.88,0.67,0.690,1.81,0.79,1.55,1.91,3.16,Cs2MnNiCl6,-1.244852459,0.657
530,Cs,Mn,V,Cl,1.88,0.67,0.79,1.81,0.79,1.55,1.63,3.16,Cs2MnVCl6,-1.429580022,0.604
556,Cs,Mn,Ni,Br,1.88,0.67,0.690,1.96,0.79,1.55,1.91,2.96,Cs2MnNiBr6,-1.004327025,0.444
568,Cs,Mn,V,Br,1.88,0.67,0.79,1.96,0.79,1.55,1.63,2.96,Cs2MnVBr6,-1.159539338,0.372
602,Cs,Mn,V,I,1.88,0.67,0.79,2.20,0.79,1.55,1.63,2.66,Cs2MnVI6,-0.802896323,0.196
620,Cs,Mn,Ni,I,1.88,0.67,0.690,2.20,0.79,1.55,1.91,2.66,Cs2MnNiI6,-0.68368801,0.086
767,K,Mn,Ni,F,1.64,0.67,0.690,1.33,0.82,1.55,1.91,3.98,K2MnNiF6,-2.649035686,4.031
838,K,Mn,Sr,F,1.64,0.67,1.18,1.33,0.82,1.55,0.95,3.98,K2MnSrF6,-3.14106624,3.477
853,K,Mn,Zn,F,1.64,0.67,0.740,1.33,0.82,1.55,1.65,3.98,K2MnZnF6,-2.738710555,3.322
863,K,Mn,Pb,F,1.64,0.67,1.19,1.33,0.82,1.55,2.33,3.98,K2MnPbF6,-2.681099661,3.259
880,K,Mn,Sr,Cl,1.64,0.67,1.18,1.81,0.82,1.55,0.95,3.16,K2MnSrCl6,-1.776965699,3.18
920,K,Mn,Sn,F,1.64,0.67,1.0,1.33,0.82,1.55,1.96,3.98,K2MnSnF6,-2.659499118,2.976
926,K,Mn,Sr,Br,1.64,0.67,1.18,1.96,0.82,1.55,0.95,2.96,K2MnSrBr6,-1.498825264,2.934
1016,K,Mn,V,F,1.64,0.67,0.79,1.33,0.82,1.55,1.63,3.98,K2MnVF6,-2.846781499,2.268
1024,K,Mn,Pb,Cl,1.64,0.67,1.19,1.81,0.82,1.55,2.33,3.16,K2MnPbCl6,-1.383935369,2.215
1067,K,Mn,Sr,I,1.64,0.67,1.18,2.20,0.82,1.55,0.95,2.66,K2MnSrI6,-1.119221249,1.948
1153,K,Mn,Sn,Br,1.64,0.67,1.0,1.96,0.82,1.55,1.96,2.96,K2MnSnBr6,-1.104636392,1.368
1158,K,Mn,Pb,I,1.64,0.67,1.19,2.20,0.82,1.55,2.33,2.66,K2MnPbI6,-0.80169067,1.333
1180,K,Mn,Zn,Cl,1.64,0.67,0.740,1.81,0.82,1.55,1.65,3.16,K2MnZnCl6,-1.372559013,1.174
1293,K,Mn,Ni,Cl,1.64,0.67,0.690,1.81,0.82,1.55,1.91,3.16,K2MnNiCl6,-1.228412144,0.678
1305,K,Mn,V,Cl,1.64,0.67,0.79,1.81,0.82,1.55,1.63,3.16,K2MnVCl6,-1.393410457,0.627
1346,K,Mn,Ni,Br,1.64,0.67,0.690,1.96,0.82,1.55,1.91,2.96,K2MnNiBr6,-0.96045971,0.452
1364,K,Mn,V,Br,1.64,0.67,0.79,1.96,0.82,1.55,1.63,2.96,K2MnVBr6,-1.100755023,0.386
1371,K,Mn,Zn,Br,1.64,0.67,0.740,1.96,0.82,1.55,1.65,2.96,K2MnZnBr6,-1.099531079,0.357
1412,K,Mn,V,I,1.64,0.67,0.79,2.20,0.82,1.55,1.63,2.66,K2MnVI6,-0.722457508,0.194
1450,K,Mn,Ni,I,1.64,0.67,0.690,2.20,0.82,1.55,1.91,2.66,K2MnNiI6,-0.612988945,0.025
1455,K,Mn,Tm,I,1.64,0.67,1.03,2.20,0.82,1.55,1.25,2.66,K2MnTmI6,-0.761901285,0.017
1584,Na,Mn,Ni,F,1.39,0.67,0.690,1.33,0.93,1.55,1.91,3.98,Na2MnNiF6,-2.540577624,3.302
1720,Na,Mn,Pb,F,1.39,0.67,1.19,1.33,0.93,1.55,2.33,3.98,Na2MnPbF6,-2.514790099,2.392
1746,Na,Mn,Zn,F,1.39,0.67,0.740,1.33,0.93,1.55,1.65,3.98,Na2MnZnF6,-2.619493744,2.33
1767,Na,Mn,Sr,Cl,1.39,0.67,1.18,1.81,0.93,1.55,0.95,3.16,Na2MnSrCl6,-1.592041637,2.214
1769,Na,Mn,Sr,F,1.39,0.67,1.18,1.33,0.93,1.55,0.95,3.98,Na2MnSrF6,-2.976369429,2.206
1778,Na,Mn,Sr,Br,1.39,0.67,1.18,1.96,0.93,1.55,0.95,2.96,Na2MnSrBr6,-1.311198953,2.164
1779,Na,Mn,Sn,F,1.39,0.67,1.0,1.33,0.93,1.55,1.96,3.98,Na2MnSnF6,-2.502580056,2.158
1846,Na,Mn,Pb,Cl,1.39,0.67,1.19,1.81,0.93,1.55,2.33,3.16,Na2MnPbCl6,-1.197834307,1.709
1863,Na,Mn,Pb,Br,1.39,0.67,1.19,1.96,0.93,1.55,2.33,2.96,Na2MnPbBr6,-0.950901873,1.635
1903,Na,Mn,Zn,Cl,1.39,0.67,0.740,1.81,0.93,1.55,1.65,3.16,Na2MnZnCl6,-1.206757202,1.435
1909,Na,Mn,Sn,Cl,1.39,0.67,1.0,1.81,0.93,1.55,1.96,3.16,Na2MnSnCl6,-1.164009014,1.383
1916,Na,Mn,Pb,I,1.39,0.67,1.19,2.20,0.93,1.55,2.33,2.66,Na2MnPbI6,-0.610679108,1.335
1929,Na,Mn,Sn,Br,1.39,0.67,1.0,1.96,0.93,1.55,1.96,2.96,Na2MnSnBr6,-0.91843883,1.227
1978,Na,Mn,V,F,1.39,0.67,0.79,1.33,0.93,1.55,1.63,3.98,Na2MnVF6,-2.717428437,0.91
1979,Na,Mn,Sn,I,1.39,0.67,1.0,2.20,0.93,1.55,1.96,2.66,Na2MnSnI6,-0.581905815,0.9
2018,Na,Mn,Ni,Cl,1.39,0.67,0.690,1.81,0.93,1.55,1.91,3.16,Na2MnNiCl6,-1.080751332,0.695
2071,Na,Mn,Ni,Br,1.39,0.67,0.690,1.96,0.93,1.55,1.91,2.96,Na2MnNiBr6,-0.801358898,0.455
2080,Na,Mn,V,Br,1.39,0.67,0.79,1.96,0.93,1.55,1.63,2.96,Na2MnVBr6,-0.932446211,0.389
2088,Na,Mn,Zn,Br,1.39,0.67,0.740,1.96,0.93,1.55,1.65,2.96,Na2MnZnBr6,-0.930521518,0.36
2126,Na,Mn,V,I,1.39,0.67,0.79,2.20,0.93,1.55,1.63,2.66,Na2MnVI6,-0.546689196,0.185
2169,Na,Mn,Tm,I,1.39,0.67,1.03,2.20,0.93,1.55,1.25,2.66,Na2MnTmI6,-0.589738723,0.031
2174,Na,Mn,Ni,I,1.39,0.67,0.690,2.20,0.93,1.55,1.91,2.66,Na2MnNiI6,-0.444346883,0.013
2263,Rb,Mn,Ni,F,1.72,0.67,0.690,1.33,0.82,1.55,1.91,3.98,Rb2MnNiF6,-2.63158991,4.829
2358,Rb,Mn,Sr,F,1.72,0.67,1.18,1.33,0.82,1.55,0.95,3.98,Rb2MnSrF6,-3.164781215,3.85
2401,Rb,Mn,Pb,F,1.72,0.67,1.19,1.33,0.82,1.55,2.33,3.98,Rb2MnPbF6,-2.706163635,3.478
2409,Rb,Mn,Sr,Cl,1.72,0.67,1.18,1.81,0.82,1.55,0.95,3.16,Rb2MnSrCl6,-1.817138673,3.375
2457,Rb,Mn,Sn,F,1.72,0.67,1.0,1.33,0.82,1.55,1.96,3.98,Rb2MnSnF6,-2.679254842,3.144
2464,Rb,Mn,Zn,F,1.72,0.67,0.740,1.33,0.82,1.55,1.65,3.98,Rb2MnZnF6,-2.72823728,3.092
2474,Rb,Mn,Sr,Br,1.72,0.67,1.18,1.96,0.82,1.55,0.95,2.96,Rb2MnSrBr6,-1.542868989,3.037
2531,Rb,Mn,V,F,1.72,0.67,0.79,1.33,0.82,1.55,1.63,3.98,Rb2MnVF6,-2.843899223,2.612
2589,Rb,Mn,Pb,Cl,1.72,0.67,1.19,1.81,0.82,1.55,2.33,3.16,Rb2MnPbCl6,-1.424652344,2.194
2625,Rb,Mn,Sr,I,1.72,0.67,1.18,2.20,0.82,1.55,0.95,2.66,Rb2MnSrI6,-1.166938474,1.952
2641,Rb,Mn,Sn,Cl,1.72,0.67,1.0,1.81,0.82,1.55,1.96,3.16,Rb2MnSnCl6,-1.386879551,1.838
2646,Rb,Mn,Pb,Br,1.72,0.67,1.19,1.96,0.82,1.55,2.33,2.96,Rb2MnPbBr6,-1.183173909,1.818
2706,Rb,Mn,Sn,Br,1.72,0.67,1.0,1.96,0.82,1.55,1.96,2.96,Rb2MnSnBr6,-1.146811616,1.399
2713,Rb,Mn,Pb,I,1.72,0.67,1.19,2.20,0.82,1.55,2.33,2.66,Rb2MnPbI6,-0.848719394,1.335
2743,Rb,Mn,Zn,Cl,1.72,0.67,0.740,1.81,0.82,1.55,1.65,3.16,Rb2MnZnCl6,-1.394852488,1.171
2779,Rb,Mn,Sn,I,1.72,0.67,1.0,2.20,0.82,1.55,1.96,2.66,Rb2MnSnI6,-0.806069351,1.01
2866,Rb,Mn,V,Cl,1.72,0.67,0.79,1.81,0.82,1.55,1.63,3.16,Rb2MnVCl6,-1.415911432,0.629
2907,Rb,Mn,Ni,Br,1.72,0.67,0.690,1.96,0.82,1.55,1.91,2.96,Rb2MnNiBr6,-0.984916184,0.449
2925,Rb,Mn,V,Br,1.72,0.67,0.79,1.96,0.82,1.55,1.63,2.96,Rb2MnVBr6,-1.131191997,0.379
2932,Rb,Mn,Zn,Br,1.72,0.67,0.740,1.96,0.82,1.55,1.65,2.96,Rb2MnZnBr6,-1.130176054,0.342
2974,Rb,Mn,V,I,1.72,0.67,0.79,2.20,0.82,1.55,1.63,2.66,Rb2MnVI6,-0.760427482,0.207
3014,Rb,Mn,Ni,I,1.72,0.67,0.690,2.20,0.82,1.55,1.91,2.66,Rb2MnNiI6,-0.647786419,0.04
3144,Tl,Mn,Zn,F,1.70,0.67,0.740,1.33,1.62,1.55,1.65,3.98,Tl2MnZnF6,-2.290052761,3.484
3266,Tl,Mn,Sr,F,1.70,0.67,1.18,1.33,1.62,1.55,0.95,3.98,Tl2MnSrF6,-2.729881946,2.642
3300,Tl,Mn,Sr,Cl,1.70,0.67,1.18,1.81,1.62,1.55,0.95,3.16,Tl2MnSrCl6,-1.384843654,2.508
3313,Tl,Mn,Sr,Br,1.70,0.67,1.18,1.96,1.62,1.55,0.95,2.96,Tl2MnSrBr6,-1.11630847,2.458
3343,Tl,Mn,Sr,I,1.70,0.67,1.18,2.20,1.62,1.55,0.95,2.66,Tl2MnSrI6,-0.745537705,2.279
3370,Tl,Mn,Pb,F,1.70,0.67,1.19,1.33,1.62,1.55,2.33,3.98,Tl2MnPbF6,-2.265186116,2.126
3404,Tl,Mn,Pb,Cl,1.70,0.67,1.19,1.81,1.62,1.55,2.33,3.16,Tl2MnPbCl6,-0.990315324,1.879
3410,Tl,Mn,Sn,F,1.70,0.67,1.0,1.33,1.62,1.55,1.96,3.98,Tl2MnSnF6,-2.238932573,1.861
3419,Tl,Mn,Pb,Br,1.70,0.67,1.19,1.96,1.62,1.55,2.33,2.96,Tl2MnPbBr6,-0.75621089,1.806
3445,Tl,Mn,Sn,Cl,1.70,0.67,1.0,1.81,1.62,1.55,1.96,3.16,Tl2MnSnCl6,-0.953641031,1.646
3463,Tl,Mn,V,F,1.70,0.67,0.79,1.33,1.62,1.55,1.63,3.98,Tl2MnVF6,-2.407061454,1.522
3472,Tl,Mn,Ni,F,1.70,0.67,0.690,1.33,1.62,1.55,1.91,3.98,Tl2MnNiF6,-1.086034641,1.457
3475,Tl,Mn,Zn,Cl,1.70,0.67,0.740,1.81,1.62,1.55,1.65,3.16,Tl2MnZnCl6,-0.969484969,1.439
3482,Tl,Mn,Pb,I,1.70,0.67,1.19,2.20,1.62,1.55,2.33,2.66,Tl2MnPbI6,-0.430112625,1.364
3483,Tl,Mn,Sn,Br,1.70,0.67,1.0,1.96,1.62,1.55,1.96,2.96,Tl2MnSnBr6,-0.722286097,1.355
3542,Tl,Mn,Sn,I,1.70,0.67,1.0,2.20,1.62,1.55,1.96,2.66,Tl2MnSnI6,-0.400595832,0.911
3588,Tl,Mn,Ni,Cl,1.70,0.67,0.690,1.81,1.62,1.55,1.91,3.16,Tl2MnNiCl6,-0.827552349,0.679
3597,Tl,Mn,V,Cl,1.70,0.67,0.79,1.81,1.62,1.55,1.63,3.16,Tl2MnVCl6,-0.996871662,0.635
3627,Tl,Mn,Ni,Br,1.70,0.67,0.690,1.96,1.62,1.55,1.91,2.96,Tl2MnNiBr6,-0.580955415,0.465
3644,Tl,Mn,V,Br,1.70,0.67,0.79,1.96,1.62,1.55,1.63,2.96,Tl2MnVBr6,-0.724344478,0.385
3648,Tl,Mn,Zn,Br,1.70,0.67,0.740,1.96,1.62,1.55,1.65,2.96,Tl2MnZnBr6,-0.723435785,0.353
3684,Tl,Mn,V,I,1.70,0.67,0.79,2.20,1.62,1.55,1.63,2.66,Tl2MnVI6,-0.367485963,0.18
3745,Tl,Mn,Ni,I,1.70,0.67,0.690,2.20,1.62,1.55,1.91,2.66,Tl2MnNiI6,-0.2629349,0
1458,K,Ti,Tl,I,1.64,0.670,1.50,2.20,0.82,1.54,1.62,2.66,K2TiTlI6,-0.912203696,0.014
344,Cs,Ir,Tl,Cl,1.88,0.68,1.50,1.81,0.79,2.2,1.62,3.16,Cs2IrTlCl6,-1.201978702,1.705
381,Cs,Ir,Tl,Br,1.88,0.68,1.50,1.96,0.79,2.2,1.62,2.96,Cs2IrTlBr6,-0.997311518,1.419
384,Cs,Ir,Na,Cl,1.88,0.68,1.02,1.81,0.79,2.2,0.93,3.16,Cs2IrNaCl6,-1.360225943,1.403
396,Cs,Ir,Li,Cl,1.88,0.68,0.76,1.81,0.79,2.2,0.98,3.16,Cs2IrLiCl6,-1.331031209,1.309
403,Cs,Ir,Tl,I,1.88,0.68,1.50,2.20,0.79,2.2,1.62,2.66,Cs2IrTlI6,-0.750284003,1.269
442,Cs,Ir,Na,Br,1.88,0.68,1.02,1.96,0.79,2.2,0.93,2.96,Cs2IrNaBr6,-1.130342259,1.017
463,Cs,Ir,Li,Br,1.88,0.68,0.76,1.96,0.79,2.2,0.98,2.96,Cs2IrLiBr6,-1.101499774,0.933
484,Cs,Ir,Na,I,1.88,0.68,1.02,2.20,0.79,2.2,0.93,2.66,Cs2IrNaI6,-0.858357244,0.81
1035,K,Ir,Tl,F,1.64,0.68,1.50,1.33,0.82,2.2,1.62,3.98,K2IrTlF6,-2.105422914,2.129
1043,K,Ir,Na,F,1.64,0.68,1.02,1.33,0.82,2.2,0.93,3.98,K2IrNaF6,-2.392480405,2.104
1049,K,Ir,Li,F,1.64,0.68,0.76,1.33,0.82,2.2,0.98,3.98,K2IrLiF6,-2.42426942,2.084
1095,K,Ir,Tl,Cl,1.64,0.68,1.50,1.81,0.82,2.2,1.62,3.16,K2IrTlCl6,-1.118847387,1.737
1137,K,Ir,Tl,Br,1.64,0.68,1.50,1.96,0.82,2.2,1.62,2.96,K2IrTlBr6,-0.907287953,1.48
1144,K,Ir,Na,Cl,1.64,0.68,1.02,1.81,0.82,2.2,0.93,3.16,K2IrNaCl6,-1.304705128,1.429
1159,K,Ir,Tl,I,1.64,0.68,1.50,2.20,0.82,2.2,1.62,2.66,K2IrTlI6,-0.654927938,1.317
1164,K,Ir,Li,Cl,1.64,0.68,0.76,1.81,0.82,2.2,0.98,3.16,K2IrLiCl6,-1.298485144,1.296
1220,K,Ir,Na,Br,1.64,0.68,1.02,1.96,0.82,2.2,0.93,2.96,K2IrNaBr6,-1.059100944,1.017
1247,K,Ir,Li,Br,1.64,0.68,0.76,1.96,0.82,2.2,0.98,2.96,K2IrLiBr6,-1.047507209,0.888
1256,K,Ir,Na,I,1.64,0.68,1.02,2.20,0.82,2.2,0.93,2.66,K2IrNaI6,-0.771924679,0.827
1294,K,Ir,Li,I,1.64,0.68,0.76,2.20,0.82,2.2,0.98,2.66,K2IrLiI6,-0.753579194,0.675
1798,Na,Ir,Tl,F,1.39,0.68,1.50,1.33,0.93,2.2,1.62,3.98,Na2IrTlF6,-1.929828352,2.034
1834,Na,Ir,Tl,Cl,1.39,0.68,1.50,1.81,0.93,2.2,1.62,3.16,Na2IrTlCl6,-0.935956075,1.761
1896,Na,Ir,Tl,Br,1.39,0.68,1.50,1.96,0.93,2.2,1.62,2.96,Na2IrTlBr6,-0.724474141,1.463
1917,Na,Ir,Tl,I,1.39,0.68,1.50,2.20,0.93,2.2,1.62,2.66,Na2IrTlI6,-0.470849126,1.334
1920,Na,Ir,Li,F,1.39,0.68,0.76,1.33,0.93,2.2,0.98,3.98,Na2IrLiF6,-2.119235859,1.295
1981,Na,Ir,Li,Br,1.39,0.68,0.76,1.96,0.93,2.2,0.98,2.96,Na2IrLiBr6,-0.886185398,0.888
2014,Na,Ir,Li,Cl,1.39,0.68,0.76,1.81,0.93,2.2,0.98,3.16,Na2IrLiCl6,-0.992914082,0.709
2021,Na,Ir,Li,I,1.39,0.68,0.76,2.20,0.93,2.2,0.98,2.66,Na2IrLiI6,-0.583769133,0.678
2608,Rb,Ir,Tl,F,1.72,0.68,1.50,1.33,0.82,2.2,1.62,3.98,Rb2IrTlF6,-2.138423138,2.084
2617,Rb,Ir,Li,F,1.72,0.68,0.76,1.33,0.82,2.2,0.98,3.98,Rb2IrLiF6,-2.407034145,2.009
2656,Rb,Ir,Tl,Cl,1.72,0.68,1.50,1.81,0.82,2.2,1.62,3.16,Rb2IrTlCl6,-1.158847362,1.72
2703,Rb,Ir,Na,Cl,1.72,0.68,1.02,1.81,0.82,2.2,0.93,3.16,Rb2IrNaCl6,-1.333540103,1.426
2704,Rb,Ir,Tl,Br,1.72,0.68,1.50,1.96,0.82,2.2,1.62,2.96,Rb2IrTlBr6,-0.949412177,1.424
2717,Rb,Ir,Tl,I,1.72,0.68,1.50,2.20,0.82,2.2,1.62,2.66,Rb2IrTlI6,-0.699239662,1.307
2720,Rb,Ir,Li,Cl,1.72,0.68,0.76,1.81,0.82,2.2,0.98,3.16,Rb2IrLiCl6,-1.318239368,1.299
2725,Rb,Ir,Na,F,1.72,0.68,1.02,1.33,0.82,2.2,0.93,3.98,Rb2IrNaF6,-2.24829488,1.261
2776,Rb,Ir,Na,Br,1.72,0.68,1.02,1.96,0.82,2.2,0.93,2.96,Rb2IrNaBr6,-1.094087919,1.028
2804,Rb,Ir,Li,Br,1.72,0.68,0.76,1.96,0.82,2.2,0.98,2.96,Rb2IrLiBr6,-1.075618684,0.899
2821,Rb,Ir,Na,I,1.72,0.68,1.02,2.20,0.82,2.2,0.93,2.66,Rb2IrNaI6,-0.811978654,0.835
2861,Rb,Ir,Li,I,1.72,0.68,0.76,2.20,0.82,2.2,0.98,2.66,Rb2IrLiI6,-0.788887669,0.657
3444,Tl,Ir,Li,F,1.70,0.68,0.76,1.33,1.62,2.2,0.98,3.98,Tl2IrLiF6,-1.954539376,1.646
3454,Tl,Ir,Na,F,1.70,0.68,1.02,1.33,1.62,2.2,0.93,3.98,Tl2IrNaF6,-1.954954111,1.582
3474,Tl,Ir,Na,Cl,1.70,0.68,1.02,1.81,1.62,2.2,0.93,3.16,Tl2IrNaCl6,-0.914696084,1.44
3488,Tl,Ir,Li,Cl,1.70,0.68,0.76,1.81,1.62,2.2,0.98,3.16,Tl2IrLiCl6,-0.903466849,1.34
3521,Tl,Ir,Na,Br,1.70,0.68,1.02,1.96,1.62,2.2,0.93,2.96,Tl2IrNaBr6,-0.6853989,1.034
3536,Tl,Ir,Li,Br,1.70,0.68,0.76,1.96,1.62,2.2,0.98,2.96,Tl2IrLiBr6,-0.674967915,0.938
3550,Tl,Ir,Na,I,1.70,0.68,1.02,2.20,1.62,2.2,0.93,2.66,Tl2IrNaI6,-0.416203885,0.854
3575,Tl,Ir,Li,I,1.70,0.68,0.76,2.20,1.62,2.2,0.98,2.66,Tl2IrLiI6,-0.40393615,0.734
85,Cs,Ni,Sr,Cl,1.88,0.690,1.18,1.81,0.79,1.91,0.95,3.16,Cs2NiSrCl6,-1.655978731,4.394
148,Cs,Ni,Sr,Br,1.88,0.690,1.18,1.96,0.79,1.91,0.95,2.96,Cs2NiSrBr6,-1.402462546,3.648
233,Cs,Ni,Pb,Cl,1.88,0.690,1.19,1.81,0.79,1.91,2.33,3.16,Cs2NiPbCl6,-1.269755651,2.684
358,Cs,Ni,Pb,I,1.88,0.690,1.19,2.20,0.79,1.91,2.33,2.66,Cs2NiPbI6,-0.713720702,1.567
370,Cs,Ni,Zn,Cl,1.88,0.690,0.740,1.81,0.79,1.91,1.65,3.16,Cs2NiZnCl6,-1.185114295,1.502
544,Cs,Ni,Sr,I,1.88,0.690,1.18,2.20,0.79,1.91,0.95,2.66,Cs2NiSrI6,-1.062112281,0.486
614,Cs,Ni,Sn,Cl,1.88,0.690,1.0,1.81,0.79,1.91,1.96,3.16,Cs2NiSnCl6,-1.233541108,0.128
619,Cs,Ni,Ti,I,1.88,0.690,0.86,2.20,0.79,1.91,1.54,2.66,Cs2NiTiI6,-0.739463623,0.087
737,K,Ni,Zn,F,1.64,0.690,0.740,1.33,0.82,1.91,1.65,3.98,K2NiZnF6,-2.536704007,4.449
769,K,Ni,Sr,Cl,1.64,0.690,1.18,1.81,0.82,1.91,0.95,3.16,K2NiSrCl6,-1.586852166,4.029
833,K,Ni,Sr,Br,1.64,0.690,1.18,1.96,0.82,1.91,0.95,2.96,K2NiSrBr6,-1.320202481,3.502
949,K,Ni,Sr,I,1.64,0.690,1.18,2.20,0.82,1.91,0.95,2.66,K2NiSrI6,-0.964585716,2.756
961,K,Ni,Pb,Cl,1.64,0.690,1.19,1.81,0.82,1.91,2.33,3.16,K2NiPbCl6,-1.199240586,2.655
1047,K,Ni,V,F,1.64,0.690,0.79,1.33,0.82,1.91,1.63,3.98,K2NiVF6,-2.647761951,2.096
1052,K,Ni,Pb,Br,1.64,0.690,1.19,1.96,0.82,1.91,2.33,2.96,K2NiPbBr6,-0.968015152,2.056
1107,K,Ni,Zn,Cl,1.64,0.690,0.740,1.81,0.82,1.91,1.65,3.16,K2NiZnCl6,-1.16926723,1.634
