 #energy          xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.60470000E+00  0.39482769E+05  0.39482769E+05  0.39482769E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.61290000E+00  0.39773943E+05  0.39773943E+05  0.39771517E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.62110000E+00  0.40062000E+05  0.40062000E+05  0.40062000E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.62920000E+00  0.40343246E+05  0.40343246E+05  0.40340726E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.63740000E+00  0.40628322E+05  0.40628322E+05  0.40628322E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.64560000E+00  0.40913602E+05  0.40913602E+05  0.40913602E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.65370000E+00  0.41193141E+05  0.41193141E+05  0.41190476E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.66190000E+00  0.41474514E+05  0.41474514E+05  0.41474514E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.67010000E+00  0.41756982E+05  0.41756982E+05  0.41756982E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.67830000E+00  0.42038105E+05  0.42040916E+05  0.42038105E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.68640000E+00  0.42314808E+05  0.42314808E+05  0.42314808E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.69460000E+00  0.42594014E+05  0.42594014E+05  0.42594014E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.70280000E+00  0.42872571E+05  0.42872571E+05  0.42872571E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.71090000E+00  0.43144651E+05  0.43144651E+05  0.43144651E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.71910000E+00  0.43422664E+05  0.43422664E+05  0.43422664E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.72730000E+00  0.43700755E+05  0.43700755E+05  0.43700755E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.73550000E+00  0.43976016E+05  0.43976016E+05  0.43976016E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.74360000E+00  0.44245805E+05  0.44245805E+05  0.44245805E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.75180000E+00  0.44522307E+05  0.44522307E+05  0.44522307E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.76000000E+00  0.44796489E+05  0.44796489E+05  0.44796489E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.76810000E+00  0.45065953E+05  0.45065953E+05  0.45065953E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.77630000E+00  0.45339310E+05  0.45339310E+05  0.45339310E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.78450000E+00  0.45610778E+05  0.45614243E+05  0.45610778E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.79270000E+00  0.45883985E+05  0.45883985E+05  0.45883985E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.80080000E+00  0.46153440E+05  0.46153440E+05  0.46149872E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.80900000E+00  0.46423726E+05  0.46423726E+05  0.46423726E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.81720000E+00  0.46696362E+05  0.46696362E+05  0.46696362E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.82530000E+00  0.46962211E+05  0.46962211E+05  0.46962211E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.83350000E+00  0.47232798E+05  0.47232798E+05  0.47232798E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.84170000E+00  0.47502534E+05  0.47502534E+05  0.47502534E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.84990000E+00  0.47775427E+05  0.47775427E+05  0.47775427E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.85800000E+00  0.48038292E+05  0.48038292E+05  0.48038292E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.86620000E+00  0.48310296E+05  0.48310296E+05  0.48310296E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.87440000E+00  0.48578023E+05  0.48578023E+05  0.48578023E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.88250000E+00  0.48844100E+05  0.48844100E+05  0.48844100E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.89070000E+00  0.49111614E+05  0.49115762E+05  0.49111614E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.89890000E+00  0.49383385E+05  0.49383385E+05  0.49383385E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.90710000E+00  0.49651199E+05  0.49651199E+05  0.49651199E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.91520000E+00  0.49918195E+05  0.49918195E+05  0.49918195E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.92340000E+00  0.50186873E+05  0.50186873E+05  0.50186873E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.93160000E+00  0.50456154E+05  0.50456154E+05  0.50456154E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.93970000E+00  0.50720780E+05  0.50720780E+05  0.50720780E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.94790000E+00  0.50991704E+05  0.50991704E+05  0.50991704E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.95610000E+00  0.51259074E+05  0.51259074E+05  0.51259074E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.96430000E+00  0.51527502E+05  0.51532136E+05  0.51527502E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.97240000E+00  0.51796495E+05  0.51796495E+05  0.51791806E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.98060000E+00  0.52062800E+05  0.52062800E+05  0.52062800E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.98880000E+00  0.52335287E+05  0.52335287E+05  0.52335287E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.99700000E+00  0.52604559E+05  0.52604559E+05  0.52604559E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10051000E+01  0.52870248E+05  0.52870248E+05  0.52870248E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10133000E+01  0.53143036E+05  0.53143036E+05  0.53143036E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10215000E+01  0.53412781E+05  0.53412781E+05  0.53412781E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10296000E+01  0.53679324E+05  0.53679324E+05  0.53679324E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10378000E+01  0.53953258E+05  0.53953258E+05  0.53953258E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10460000E+01  0.54224323E+05  0.54224323E+05  0.54224323E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10542000E+01  0.54497742E+05  0.54497742E+05  0.54497742E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10623000E+01  0.54763220E+05  0.54763220E+05  0.54763220E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10705000E+01  0.55036416E+05  0.55036416E+05  0.55036416E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10787000E+01  0.55312314E+05  0.55312314E+05  0.55312314E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10868000E+01  0.55580495E+05  0.55580495E+05  0.55580495E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10950000E+01  0.55856703E+05  0.55856703E+05  0.55856703E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11032000E+01  0.56130396E+05  0.56130396E+05  0.56130396E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11114000E+01  0.56407187E+05  0.56407187E+05  0.56407187E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11195000E+01  0.56676491E+05  0.56676491E+05  0.56676491E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11277000E+01  0.56954169E+05  0.56954169E+05  0.56954169E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11359000E+01  0.57235303E+05  0.57235303E+05  0.57235303E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11440000E+01  0.57509178E+05  0.57509178E+05  0.57509178E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11522000E+01  0.57785850E+05  0.57785850E+05  0.57785850E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11604000E+01  0.58066228E+05  0.58066228E+05  0.58066228E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11686000E+01  0.58344458E+05  0.58344458E+05  0.58344458E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11767000E+01  0.58621618E+05  0.58621618E+05  0.58621618E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11849000E+01  0.58901718E+05  0.58901718E+05  0.58901718E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11931000E+01  0.59185935E+05  0.59185935E+05  0.59185935E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12012000E+01  0.59463246E+05  0.59463246E+05  0.59463246E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12094000E+01  0.59749842E+05  0.59749842E+05  0.59749842E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12176000E+01  0.60034580E+05  0.60034580E+05  0.60034580E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12258000E+01  0.60323850E+05  0.60323850E+05  0.60323850E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12339000E+01  0.60606447E+05  0.60606447E+05  0.60606447E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12421000E+01  0.60892200E+05  0.60892200E+05  0.60892200E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12503000E+01  0.61182744E+05  0.61182744E+05  0.61182744E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12584000E+01  0.61466736E+05  0.61466736E+05  0.61466736E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12666000E+01  0.61760621E+05  0.61760621E+05  0.61760621E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12748000E+01  0.62052940E+05  0.62052940E+05  0.62052940E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
